,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
date,,,,
,,,,
date,state,fips,cases,deaths
1/21/2020,Washington,53,1,0
,,,,
1/22/2020,Washington,53,1,0
,,,,
1/23/2020,Washington,53,1,0
,,,,
1/24/2020,Illinois,17,1,0
,,,,
1/24/2020,Washington,53,1,0
,,,,
1/25/2020,California,6,1,0
,,,,
1/25/2020,Illinois,17,1,0
,,,,
1/25/2020,Washington,53,1,0
,,,,
1/26/2020,Arizona,4,1,0
,,,,
1/26/2020,California,6,2,0
,,,,
1/26/2020,Illinois,17,1,0
,,,,
1/26/2020,Washington,53,1,0
,,,,
1/27/2020,Arizona,4,1,0
,,,,
1/27/2020,California,6,2,0
,,,,
1/27/2020,Illinois,17,1,0
,,,,
1/27/2020,Washington,53,1,0
,,,,
1/28/2020,Arizona,4,1,0
,,,,
1/28/2020,California,6,2,0
,,,,
1/28/2020,Illinois,17,1,0
,,,,
1/28/2020,Washington,53,1,0
,,,,
1/29/2020,Arizona,4,1,0
,,,,
1/29/2020,California,6,2,0
,,,,
1/29/2020,Illinois,17,1,0
,,,,
1/29/2020,Washington,53,1,0
,,,,
1/30/2020,Arizona,4,1,0
,,,,
1/30/2020,California,6,2,0
,,,,
1/30/2020,Illinois,17,2,0
,,,,
1/30/2020,Washington,53,1,0
,,,,
1/31/2020,Arizona,4,1,0
,,,,
1/31/2020,California,6,3,0
,,,,
1/31/2020,Illinois,17,2,0
,,,,
1/31/2020,Washington,53,1,0
,,,,
2/1/2020,Arizona,4,1,0
,,,,
2/1/2020,California,6,3,0
,,,,
2/1/2020,Illinois,17,2,0
,,,,
2/1/2020,Massachusetts,25,1,0
,,,,
2/1/2020,Washington,53,1,0
,,,,
2/2/2020,Arizona,4,1,0
,,,,
2/2/2020,California,6,6,0
,,,,
2/2/2020,Illinois,17,2,0
,,,,
2/2/2020,Massachusetts,25,1,0
,,,,
2/2/2020,Washington,53,1,0
,,,,
2/3/2020,Arizona,4,1,0
,,,,
2/3/2020,California,6,6,0
,,,,
2/3/2020,Illinois,17,2,0
,,,,
2/3/2020,Massachusetts,25,1,0
,,,,
2/3/2020,Washington,53,1,0
,,,,
2/4/2020,Arizona,4,1,0
,,,,
2/4/2020,California,6,6,0
,,,,
2/4/2020,Illinois,17,2,0
,,,,
2/4/2020,Massachusetts,25,1,0
,,,,
2/4/2020,Washington,53,1,0
,,,,
2/5/2020,Arizona,4,1,0
,,,,
2/5/2020,California,6,6,0
,,,,
2/5/2020,Illinois,17,2,0
,,,,
2/5/2020,Massachusetts,25,1,0
,,,,
2/5/2020,Washington,53,1,0
,,,,
2/5/2020,Wisconsin,55,1,0
,,,,
2/6/2020,Arizona,4,1,0
,,,,
2/6/2020,California,6,6,0
,,,,
2/6/2020,Illinois,17,2,0
,,,,
2/6/2020,Massachusetts,25,1,0
,,,,
2/6/2020,Washington,53,1,0
,,,,
2/6/2020,Wisconsin,55,1,0
,,,,
